symbol,name,market_cap,sector,industry,sub_industry
SHLS,"Shoals Technologies Group, Inc.",1541647360,Technology,Solar,
SHO,"Sunstone Hotel Investors, Inc.",1731916672,Real Estate,REIT - Hotel & Motel,
SHOO,"Steven Madden, Ltd.",3127197696,Consumer Cyclical,Footwear & Accessories,
SHOP,Shopify Inc.,222393827328,Technology,Software - Application,
SHW,The Sherwin-Williams Company,81143029760,Basic Materials,Specialty Chemicals,
SID,Companhia Siderúrgica Nacional,2148272128,Basic Materials,Steel,
SIG,Signet Jewelers Limited,3489252352,Consumer Cyclical,Luxury Goods,
SIGI,"Selective Insurance Group, Inc.",5113250816,Financial Services,Insurance - Property & Casualty,
SII,Sprott Inc.,2590745344,Financial Services,Asset Management,
SILA,"Sila Realty Trust, Inc.",1276435968,Real Estate,REIT - Healthcare Facilities,
SIMO,Silicon Motion Technology Corporation,3066346752,Technology,Semiconductors,
SIRI,Sirius XM Holdings Inc.,6936853504,Communication Services,Entertainment,
SITE,"SiteOne Landscape Supply, Inc.",5675166720,Industrials,Industrial Distribution,
SITM,SiTime Corporation,9842807808,Technology,Semiconductors,
SJM,The J. M. Smucker Company,10634223616,Consumer Defensive,Packaged Foods,
SKE,Skeena Resources Limited,3078192640,Basic Materials,Other Industrial Metals & Mining,
SKM,"SK Telecom Co., Ltd.",7870750208,Communication Services,Telecom Services,
SKT,Tanger Inc.,3912589056,Real Estate,REIT - Retail,
SKWD,"Skyward Specialty Insurance Group, Inc.",2099269760,Financial Services,Insurance - Property & Casualty,
SKY,"Champion Homes, Inc.",4834560512,Consumer Cyclical,Residential Construction,
SKYW,"SkyWest, Inc.",4148865792,Industrials,Airlines,
SLAB,Silicon Laboratories Inc.,4414778368,Technology,Semiconductors,
SLB,SLB N.V.,56455372800,Energy,Oil & Gas Equipment & Services,
SLDE,"Slide Insurance Holdings, Inc.",2404530688,Financial Services,Insurance - Property & Casualty,
SLF,Sun Life Financial Inc.,34991542272,Financial Services,Insurance - Diversified,
SLG,SL Green Realty Corp.,3489521664,Real Estate,REIT - Office,
SLGN,Silgan Holdings Inc.,4372811264,Consumer Cyclical,Packaging & Containers,
SLI,Standard Lithium Ltd.,1084160512,Basic Materials,Other Industrial Metals & Mining,
SLM,SLM Corporation,5737407488,Financial Services,Credit Services,
SLNO,"Soleno Therapeutics, Inc.",2559282688,Healthcare,Biotechnology,
SLSR,Solaris Resources Inc.,1398596224,Basic Materials,Other Precious Metals & Mining,
SLV,iShares Silver Trust,24283924480,,,
SLVM,Sylvamo Corporation,1977044096,Basic Materials,Paper & Paper Products,
SLYG,State Street SPDR S&P 600 Small Cap Growth ETF,3184224000,,,
SLYV,State Street SPDR S&P 600 Small Cap Value ETF,3242594560,,,
SM,SM Energy Company,2120398080,Energy,Oil & Gas E&P,
SMA,"SmartStop Self Storage REIT, Inc.",1747485952,Real Estate,REIT - Industrial,
SMCI,"Super Micro Computer, Inc.",18291195904,Technology,Computer Hardware,
SMFG,"Sumitomo Mitsui Financial Group, Inc.",124831408128,Financial Services,Banks - Diversified,
SMG,The Scotts Miracle-Gro Company,3360354048,Basic Materials,Agricultural Inputs,
SMMT,Summit Therapeutics Inc.,13504187392,Healthcare,Biotechnology,
SMPL,The Simply Good Foods Company,1995159936,Consumer Defensive,Packaged Foods,
SMR,NuScale Power Corporation,4200225792,Industrials,Specialty Industrial Machinery,
SMTC,Semtech Corporation,7039521792,Technology,Semiconductors,
SN,"SharkNinja, Inc.",16090713088,Consumer Cyclical,"Furnishings, Fixtures & Appliances",
SNA,Snap-on Incorporated,18465832960,Industrials,Tools & Accessories,
SNAP,Snap Inc.,13514159104,Communication Services,Internet Content & Information,
SNDK,Sandisk Corporation,36645625856,Technology,Computer Hardware,
SNDR,"Schneider National, Inc.",4783926272,Industrials,Trucking,
SNDX,"Syndax Pharmaceuticals, Inc.",1851286016,Healthcare,Biotechnology,
SNEX,StoneX Group Inc.,5234315776,Financial Services,Capital Markets,
SNN,Smith & Nephew plc,14022573056,Healthcare,Medical Devices,
SNOW,Snowflake Inc.,76611739648,Technology,Software - Application,
SNPS,"Synopsys, Inc.",91285569536,Technology,Software - Infrastructure,
SNV,Synovus Financial Corp.,7318448128,Financial Services,Banks - Regional,
SNX,TD SYNNEX Corporation,12774975488,Technology,Electronics & Computer Distribution,
SNY,Sanofi,117432123392,Healthcare,Drug Manufacturers - General,
SO,The Southern Company,95983312896,Utilities,Utilities - Regulated Electric,
SOBO,South Bow Corporation,5902920704,Energy,Oil & Gas Midstream,
SOC,Sable Offshore Corp.,1236524032,Energy,Oil & Gas Drilling,
SOFI,"SoFi Technologies, Inc.",34120341504,Financial Services,Credit Services,
SOLS,"Solstice Advanced Materials, Inc.",7899865600,Basic Materials,Specialty Chemicals,
SOLV,Solventum Corporation,13955590144,Healthcare,Medical Instruments & Supplies,
SON,Sonoco Products Company,4290536192,Consumer Cyclical,Packaging & Containers,
SONO,"Sonos, Inc.",2185515520,Technology,Consumer Electronics,
SONY,Sony Group Corporation,153976602624,Technology,Consumer Electronics,
SOUN,"SoundHound AI, Inc.",4495025664,Technology,Software - Application,
SPB,"Spectrum Brands Holdings, Inc.",1453874560,Consumer Defensive,Household & Personal Products,
SPEM,SPDR Portfolio Emerging Markets ETF,3607296000,,,
SPG,"Simon Property Group, Inc.",70805528576,Real Estate,REIT - Retail,
SPGI,S&P Global Inc.,161641086976,Financial Services,Financial Data & Stock Exchanges,
SPH,"Suburban Propane Partners, L.P.",1244418944,Utilities,Utilities - Regulated Gas,
SPHR,Sphere Entertainment Co.,3363425536,Communication Services,Entertainment,
SPNT,SiriusPoint Ltd.,2606134528,Financial Services,Insurance - Reinsurance,
SPOT,Spotify Technology S.A.,120314167296,Communication Services,Internet Content & Information,
SPRY,"ARS Pharmaceuticals, Inc.",1124897152,Healthcare,Biotechnology,
SPSC,"SPS Commerce, Inc.",3484573440,Technology,Software - Application,
SPTM,State Street SPDR Portfolio S&P 1500 Composite Stock Market ETF,7934988288,,,
SPXC,"SPX Technologies, Inc.",10389720064,Industrials,Building Products & Equipment,
SPYG,State Street SPDR Portfolio S&P 500 Growth ETF,14951858176,,,
SPYV,State Street SPDR Portfolio S&P 500 Value ETF,5123307008,,,
SQM,Sociedad Química y Minera de Chile S.A.,20463093760,Basic Materials,Specialty Chemicals,
SR,Spire Inc.,4903194112,Utilities,Utilities - Regulated Gas,
SRAD,Sportradar Group AG,6836483072,Technology,Software - Application,
SRCE,1st Source Corporation,1569680256,Financial Services,Banks - Regional,
SRE,Sempra,57834110976,Utilities,Utilities - Diversified,
SRPT,"Sarepta Therapeutics, Inc.",2317892608,Healthcare,Biotechnology,
SRRK,Scholar Rock Holding Corporation,4658680320,Healthcare,Biotechnology,
SSB,SouthState Bank Corporation,9692784640,Financial Services,Banks - Regional,
SSD,"Simpson Manufacturing Co., Inc.",6957579776,Basic Materials,Lumber & Wood Production,
SSL,Sasol Limited,4092991744,Basic Materials,Specialty Chemicals,
SSNC,"SS&C Technologies Holdings, Inc.",21887053824,Technology,Software - Application,
SSRM,SSR Mining Inc.,4721094656,Basic Materials,Gold,
ST,Sensata Technologies Holding plc,4891892224,Technology,Scientific & Technical Instruments,
STAA,STAAR Surgical Company,1152695040,Healthcare,Medical Instruments & Supplies,
STAG,"STAG Industrial, Inc.",7103508992,Real Estate,REIT - Industrial,
STBA,"S&T Bancorp, Inc.",1546494464,Financial Services,Banks - Regional,
STC,Stewart Information Services Corporation,2147270272,Financial Services,Insurance - Property & Casualty,
STE,STERIS plc,25156470784,Healthcare,Medical Devices,
STEP,StepStone Group Inc.,8236772864,Financial Services,Asset Management,
STGW,Stagwell Inc.,1288340864,Communication Services,Advertising Agencies,
STLA,Stellantis N.V.,31920400384,Consumer Cyclical,Auto Manufacturers,
STLD,"Steel Dynamics, Inc.",25828517888,Basic Materials,Steel,
STM,STMicroelectronics N.V.,23320700928,Technology,Semiconductors,
STN,Stantec Inc.,10977920000,Industrials,Engineering & Construction,
STNE,StoneCo Ltd.,3967387136,Technology,Software - Infrastructure,
STNG,Scorpio Tankers Inc.,2663195648,Energy,Oil & Gas Midstream,
STOK,"Stoke Therapeutics, Inc.",1823179520,Healthcare,Biotechnology,
STRA,"Strategic Education, Inc.",1939518208,Consumer Defensive,Education & Training Services,
STRL,"Sterling Infrastructure, Inc.",9724216320,Industrials,Engineering & Construction,
STT,State Street Corporation,37527216128,Financial Services,Asset Management,
STUB,"StubHub Holdings, Inc.",4884560384,Communication Services,Internet Content & Information,
STVN,Stevanato Group S.p.A.,5651176448,Healthcare,Medical Instruments & Supplies,
STWD,"Starwood Property Trust, Inc.",7043927040,Real Estate,REIT - Mortgage,
STX,Seagate Technology Holdings plc,62359339008,Technology,Computer Hardware,
STZ,"Constellation Brands, Inc.",24266639360,Consumer Defensive,Beverages - Brewers,
SU,Suncor Energy Inc.,52478271488,Energy,Oil & Gas Integrated,
SUI,"Sun Communities, Inc.",15986361344,Real Estate,REIT - Residential,
SUN,Sunoco LP,9976546304,Energy,Oil & Gas Refining & Marketing,
SUPN,"Supernus Pharmaceuticals, Inc.",2956990464,Healthcare,Drug Manufacturers - Specialty & Generic,
SUPV,Grupo Supervielle S.A.,1113440000,Financial Services,Banks - Regional,
SUZ,Suzano S.A.,11601367040,Basic Materials,Paper & Paper Products,
SVM,Silvercorp Metals Inc.,1960770304,Basic Materials,Silver,
SVRA,Savara Inc.,1312367488,Healthcare,Biotechnology,
SVV,"Savers Value Village, Inc.",1473224960,Consumer Cyclical,Specialty Retail,
SW,Smurfit Westrock Plc,20229498880,Consumer Cyclical,Packaging & Containers,
SWK,"Stanley Black & Decker, Inc.",11675228160,Industrials,Tools & Accessories,
SWKS,"Skyworks Solutions, Inc.",9627020288,Technology,Semiconductors,
SWX,"Southwest Gas Holdings, Inc.",5829572096,Utilities,Utilities - Regulated Gas,
SXI,Standex International Corporation,2780124160,Industrials,Specialty Industrial Machinery,
SXT,Sensient Technologies Corporation,4082940416,Basic Materials,Specialty Chemicals,
SYBT,"Stock Yards Bancorp, Inc.",1965290240,Financial Services,Banks - Regional,
SYF,Synchrony Financial,32000669696,Financial Services,Credit Services,
SYK,Stryker Corporation,135462100992,Healthcare,Medical Devices,
SYM,Symbotic Inc.,34376032256,Industrials,Specialty Industrial Machinery,
SYNA,Synaptics Incorporated,2868628736,Technology,Semiconductors,
SYRE,"Spyre Therapeutics, Inc.",2555884544,Healthcare,Biotechnology,
SYY,Sysco Corporation,35545858048,Consumer Defensive,Food Distribution,
T,AT&T Inc.,176257007616,Communication Services,Telecom Services,
TAC,TransAlta Corporation,3809628160,Utilities,Utilities - Independent Power Producers,
TAK,Takeda Pharmaceutical Company Limited,52079300608,Healthcare,Drug Manufacturers - Specialty & Generic,
TAL,TAL Education Group,6693739008,Consumer Defensive,Education & Training Services,
TALO,Talos Energy Inc.,1903772288,Energy,Oil & Gas E&P,
TAP,Molson Coors Beverage Company,9179824128,Consumer Defensive,Beverages - Brewers,
TARS,"Tarsus Pharmaceuticals, Inc.",3471487744,Healthcare,Biotechnology,
TASK,"TaskUs, Inc.",1040706880,Technology,Information Technology Services,
TBBB,BBB Foods Inc.,3936501504,Consumer Defensive,Discount Stores,
TBBK,"The Bancorp, Inc.",3217667072,Financial Services,Banks - Regional,
TBLA,Taboola.com Ltd.,1332267648,Communication Services,Internet Content & Information,
TCBI,"Texas Capital Bancshares, Inc.",4291833088,Financial Services,Banks - Regional,
TCBK,TriCo Bancshares,1572924160,Financial Services,Banks - Regional,
TCOM,Trip.com Group Limited,47386251264,Consumer Cyclical,Travel Services,
TD,The Toronto-Dominion Bank,162041888768,Financial Services,Banks - Diversified,
TDC,Teradata Corporation,2898315008,Technology,Software - Infrastructure,
TDG,TransDigm Group Incorporated,73776046080,Industrials,Aerospace & Defense,
TDOC,"Teladoc Health, Inc.",1263610624,Healthcare,Health Information Services,
TDS,"Telephone and Data Systems, Inc.",4650646016,Communication Services,Telecom Services,
TDW,Tidewater Inc.,2494513664,Energy,Oil & Gas Equipment & Services,
TDY,Teledyne Technologies Incorporated,24290093056,Technology,Scientific & Technical Instruments,
TE,T1 Energy Inc.,1444087552,Industrials,Electrical Equipment & Parts,
TEAM,Atlassian Corporation,42946191360,Technology,Software - Application,
TECH,Bio-Techne Corporation,9227228160,Healthcare,Biotechnology,
TECK,Teck Resources Limited,23418034176,Basic Materials,Other Industrial Metals & Mining,
TEF,"Telefónica, S.A.",22450012160,Communication Services,Telecom Services,
TEL,TE Connectivity plc,68481822720,Technology,Electronic Components,
TEM,"Tempus AI, Inc.",11154785280,Healthcare,Health Information Services,
TENB,"Tenable Holdings, Inc.",2918388480,Technology,Software - Infrastructure,
TEO,Telecom Argentina S.A.,5558075904,Communication Services,Telecom Services,
TER,"Teradyne, Inc.",31639726080,Technology,Semiconductor Equipment & Materials,
TERN,"Terns Pharmaceuticals, Inc.",4516017664,Healthcare,Biotechnology,
TEVA,Teva Pharmaceutical Industries Limited,36586840064,Healthcare,Drug Manufacturers - Specialty & Generic,
TEX,Terex Corporation,3619229184,Industrials,Farm & Heavy Construction Machinery,
TFC,Truist Financial Corporation,65258311680,Financial Services,Banks - Regional,
TFII,TFI International Inc.,8807436288,Industrials,Trucking,
TFIN,"Triumph Financial, Inc.",1521808128,Financial Services,Banks - Regional,
TFPM,Triple Flag Precious Metals Corp.,7354489856,Basic Materials,Other Precious Metals & Mining,
TFSL,TFS Financial Corporation,3926825472,Financial Services,Banks - Regional,
TFX,Teleflex Incorporated,5425305600,Healthcare,Medical Instruments & Supplies,
TGB,Taseko Mines Limited,2095297024,Basic Materials,Copper,
TGLS,Tecnoglass Inc.,2392272384,Basic Materials,Building Materials,
TGNA,TEGNA Inc.,3124501504,Communication Services,Broadcasting,
TGS,Transportadora de Gas del Sur S.A.,5300256256,Energy,Oil & Gas Integrated,
TGT,Target Corporation,45235433472,Consumer Defensive,Discount Stores,
TGTX,"TG Therapeutics, Inc.",4885028352,Healthcare,Biotechnology,
THC,Tenet Healthcare Corporation,17723211776,Healthcare,Medical Care Facilities,
THG,"The Hanover Insurance Group, Inc.",6588916224,Financial Services,Insurance - Property & Casualty,
THO,"THOR Industries, Inc.",5609881088,Consumer Cyclical,Recreational Vehicles,
THR,"Thermon Group Holdings, Inc.",1250519168,Industrials,Specialty Industrial Machinery,
THRM,Gentherm Incorporated,1134314496,Consumer Cyclical,Auto Parts,
THS,"TreeHouse Foods, Inc.",1195335040,Consumer Defensive,Packaged Foods,
TIC,"TIC Solutions, Inc.",2344549888,Industrials,Specialty Business Services,
TIGO,Millicom International Cellular S.A.,9152915456,Communication Services,Telecom Services,
TIGR,UP Fintech Holding Limited,1613229056,Financial Services,Capital Markets,
TILE,"Interface, Inc.",1662380800,Consumer Cyclical,"Furnishings, Fixtures & Appliances",
TIMB,TIM S.A.,9791004672,Communication Services,Telecom Services,
TIP,iShares TIPS Bond ETF,19555885056,,,
TJX,"The TJX Companies, Inc.",174853799936,Consumer Cyclical,Apparel Retail,
TKC,Turkcell Iletisim Hizmetleri A.S.,5001919488,Communication Services,Telecom Services,
TKO,"TKO Group Holdings, Inc.",17859846144,Communication Services,Entertainment,
TKR,The Timken Company,6026600960,Industrials,Tools & Accessories,
TLN,Talen Energy Corporation,17567883264,Utilities,Utilities - Independent Power Producers,
TLRY,"Tilray Brands, Inc.",1113600000,Healthcare,Drug Manufacturers - Specialty & Generic,
TM,Toyota Motor Corporation,282329219072,Consumer Cyclical,Auto Manufacturers,
TMC,TMC the metals company Inc.,3647576320,Basic Materials,Other Industrial Metals & Mining,
TMDX,"TransMedics Group, Inc.",4244450816,Healthcare,Medical Devices,
TME,Tencent Music Entertainment Group,29675628544,Communication Services,Internet Content & Information,
TMHC,Taylor Morrison Home Corporation,5836139520,Consumer Cyclical,Residential Construction,
TMO,Thermo Fisher Scientific Inc.,218188693504,Healthcare,Diagnostics & Research,
TMP,Tompkins Financial Corporation,1069711488,Financial Services,Banks - Regional,
TMUS,"T-Mobile US, Inc.",226209218560,Communication Services,Telecom Services,
TNC,Tennant Company,1393126272,Industrials,Specialty Industrial Machinery,
TNDM,"Tandem Diabetes Care, Inc.",1515382784,Healthcare,Medical Devices,
TNET,"TriNet Group, Inc.",2849799680,Industrials,Staffing & Employment Services,
TNGX,"Tango Therapeutics, Inc.",1167650304,Healthcare,Biotechnology,
TNK,Teekay Tankers Ltd.,1876847360,Energy,Oil & Gas Midstream,
TNL,Travel + Leisure Co.,4715638784,Consumer Cyclical,Travel Services,
TOL,"Toll Brothers, Inc.",13408802816,Consumer Cyclical,Residential Construction,
TOST,"Toast, Inc.",21426718720,Technology,Software - Infrastructure,
TOWN,TowneBank,2659250944,Financial Services,Banks - Regional,
TPB,"Turning Point Brands, Inc.",2027602816,Consumer Defensive,Tobacco,
TPC,Tutor Perini Corporation,3642448640,Industrials,Engineering & Construction,
TPG,TPG Inc.,25089290240,Financial Services,Asset Management,
TPH,"Tri Pointe Homes, Inc.",2817709824,Consumer Cyclical,Residential Construction,
TPL,Texas Pacific Land Corporation,19822499840,Energy,Oil & Gas E&P,
TPR,"Tapestry, Inc.",27179823104,Consumer Cyclical,Luxury Goods,
TR,"Tootsie Roll Industries, Inc.",2734809088,Consumer Defensive,Confectioners,
TREX,"Trex Company, Inc.",3824705536,Industrials,Building Products & Equipment,
TRGP,Targa Resources Corp.,39358590976,Energy,Oil & Gas Midstream,
TRI,Thomson Reuters Corporation,60215005184,Industrials,Specialty Business Services,
TRIN,Trinity Capital Inc.,1150386944,Financial Services,Asset Management,
TRIP,"Tripadvisor, Inc.",1646069376,Consumer Cyclical,Travel Services,
TRMB,Trimble Inc.,19085119488,Technology,Scientific & Technical Instruments,
TRMD,TORM plc,1979027840,Energy,Oil & Gas Midstream,
TRMK,Trustmark Corporation,2423114240,Financial Services,Banks - Regional,
TRN,"Trinity Industries, Inc.",2223027456,Industrials,Railroads,
TRNO,Terreno Realty Corporation,6227019776,Real Estate,REIT - Industrial,
TROW,"T. Rowe Price Group, Inc.",23015172096,Financial Services,Asset Management,
TRP,TC Energy Corporation,58214342656,Energy,Oil & Gas Midstream,
TRS,TriMas Corporation,1468934528,Consumer Cyclical,Packaging & Containers,
TRU,TransUnion,17015779328,Financial Services,Financial Data & Stock Exchanges,
TRUP,"Trupanion, Inc.",1630730752,Financial Services,Insurance - Property & Casualty,
TRV,"The Travelers Companies, Inc.",65766096896,Financial Services,Insurance - Property & Casualty,
TRVI,"Trevi Therapeutics, Inc.",1647757312,Healthcare,Biotechnology,
TS,Tenaris S.A.,19686555648,Energy,Oil & Gas Equipment & Services,
TSAT,Telesat Corporation,1487196416,Technology,Communication Equipment,
TSCO,Tractor Supply Company,27154659328,Consumer Cyclical,Specialty Retail,
TSEM,Tower Semiconductor Ltd.,13635375104,Technology,Semiconductors,
TSHA,"Taysha Gene Therapies, Inc.",1596949888,Healthcare,Biotechnology,
TSLA,"Tesla, Inc.",1580396052480,Consumer Cyclical,Auto Manufacturers,
TSLX,"Sixth Street Specialty Lending, Inc.",2051463040,Financial Services,Asset Management,
TSM,Taiwan Semiconductor Manufacturing Company Limited,1570681126912,Technology,Semiconductors,
TSN,"Tyson Foods, Inc.",20675010560,Consumer Defensive,Farm Products,
TT,Trane Technologies plc,87357300736,Industrials,Building Products & Equipment,
TTAM,Titan America SA,3139692800,Basic Materials,Building Materials,
TTAN,"ServiceTitan, Inc.",10086678528,Technology,Software - Application,
TTC,The Toro Company,7775589888,Industrials,Tools & Accessories,
TTD,"The Trade Desk, Inc.",18731403264,Communication Services,Advertising Agencies,
TTE,TotalEnergies SE,140525043712,Energy,Oil & Gas Integrated,
TTEK,"Tetra Tech, Inc.",8942178304,Industrials,Engineering & Construction,
TTI,"TETRA Technologies, Inc.",1249194368,Industrials,Conglomerates,
TTMI,"TTM Technologies, Inc.",7410880000,Technology,Electronic Components,
TTWO,"Take-Two Interactive Software, Inc.",47320010752,Communication Services,Electronic Gaming & Multimedia,
TU,TELUS Corporation,20007333888,Communication Services,Telecom Services,
TUYA,Tuya Inc.,1346250240,Technology,Software - Infrastructure,
TV,"Grupo Televisa, S.A.B.",1573942016,Communication Services,Telecom Services,
TVTX,"Travere Therapeutics, Inc.",3546683136,Healthcare,Biotechnology,
TW,Tradeweb Markets Inc.,23552538624,Financial Services,Capital Markets,
TWLO,Twilio Inc.,21551284224,Technology,Software - Infrastructure,
TWO,Two Harbors Investment Corp.,1132240896,Real Estate,REIT - Mortgage,
TWST,Twist Bioscience Corporation,2020942208,Healthcare,Diagnostics & Research,
TX,Ternium S.A.,7546066944,Basic Materials,Steel,
TXG,"10x Genomics, Inc.",2086859776,Healthcare,Health Information Services,
